_skip,.group.element.code,,,,.group.element.target.code,.group.element.target.display,,,,,
x,Chew:No __ Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,2,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Cigars:Yes __ Pipes:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUse:Quit,,2,,,,,,,,
x,Chew:Yes __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:Yes __ Tobacco use __ TobaccoUse:Yes,,2,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+ __ TobaccoUseInYears:0",,2,,,,,,,,
x,Chew:No __ Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokelessTobaccoUse:Unknown __ Snuff:No __ Tobacco use __ TobaccoUse:Quit,,2,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, in remission __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+",,2,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:Yes __ TobaccoUse:Yes __ TobaccoUseInYears:+",,2,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:Yes __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,2,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigarettes:Yes __ Cigars:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUse:Yes __ TobaccoUseInYears:+,,2,,,,,,,,
x,"Chew:No __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, with other nicotine-induced disorders __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes",,2,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Unknown If Ever Smoked __ Snuff:No __ TobaccoUse:Not Asked __ TobaccoUseInYears:+",,2,,,,,,,,
x,"Chew:No __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:Yes __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,2,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+,,2,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:Yes __ Tobacco use __ TobaccoUse:Quit __ TobaccoUseInYears:+,,2,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUse:Yes __ TobaccoUseInYears:+,,2,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Current User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes,,2,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:+,,2,,,,,,,,
x,"Chew:No __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:+",,2,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:Yes __ TobaccoUse:Yes __ TobaccoUseInYears:+,,2,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+,,2,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Unknown __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:0,,2,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUse:Yes __ TobaccoUseInYears:+",,2,,,,,,,,
x,Chew:No __ Chew:Yes __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,2,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokelessTobaccoUse:Unknown __ Snuff:No __ Tobacco use __ TobaccoUse:Quit __ TobaccoUse:Yes,,2,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Nicotine dependence, cigarettes, with unspecified nicotine-induced disorders __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit",,2,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, with unspecified nicotine-induced disorders __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+",,2,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Quit __ TobaccoUse:Yes,,2,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes,,2,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Not Asked __ TobaccoUseInYears:+,,2,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Not Asked,,2,,,,,,,,
x,"Chew:No __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, in remission __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+",,2,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Nicotine dependence, cigarettes, with unspecified nicotine-induced disorders __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,2,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Not Asked,,2,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, with withdrawal __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Yes",,2,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:0,,2,,,,,,,,
x,"Chew:Yes __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never",,2,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Never,,2,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit,,2,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit,,2,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, with other nicotine-induced disorders __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Yes",,2,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, with withdrawal __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,2,,,,,,,,
x,Chew:Yes __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:Yes __ TobaccoUse:Never,,2,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Passive,,2,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No,,2,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Not Asked __ TobaccoUseInYears:+",,2,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,2,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:Yes __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+,,2,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes",,2,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:Yes __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:0,,2,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Quit __ TobaccoUseInYears:0,,2,,,,,,,,
x,"Chew:No __ Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes",,2,,,,,,,,
x,Chew:No __ Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUse:Yes __ TobaccoUseInYears:+,,2,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Unknown __ SmokingTobaccoUse:Unknown If Ever Smoked __ Snuff:No __ TobaccoUse:Not Asked",,1,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:Yes __ TobaccoUse:Quit,,1,,,,,,,,
x,"Chew:No __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Unknown If Ever Smoked __ Snuff:No __ TobaccoUse:Not Asked",,1,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes,,1,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:Yes __ TobaccoUse:Quit",,1,,,,,,,,
x,"Chew:Yes __ Cigarettes:No __ Cigars:Yes __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+",,1,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Quit,,1,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigarettes:Yes __ Cigars:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,1,,,,,,,,
x,"Chew:No __ Cigarettes:Yes __ Cigars:Yes __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:Yes __ TobaccoUse:Yes",,1,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Not Asked __ TobaccoUse:Yes",,1,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Unknown __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ Tobacco use __ TobaccoUse:Never",,1,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Yes,,1,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:0",,1,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Never Smoker __ SmokingTobaccoUse:Unknown If Ever Smoked __ Snuff:No __ TobaccoUse:Not Asked __ TobaccoUse:Quit,,1,,,,,,,,
x,Chew:No __ Chew:Yes __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokelessTobaccoUse:Unknown __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Quit,,1,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:Yes __ Tobacco use __ TobaccoUse:Quit,,1,,,,,,,,
x,"Chew:No __ Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,1,,,,,,,,
x,Chew:No __ Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigarettes:Yes __ Cigars:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:0,,1,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1,,,,,,,,
x,Chew:No __ Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Quit __ TobaccoUse:Yes,,1,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+",,1,,,,,,,,
x,Chew:No __ Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit,,1,,,,,,,,
x,Chew:No __ Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Quit __ TobaccoUse:Yes __ TobaccoUseInYears:+,,1,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+,,1,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Not Asked __ TobaccoUse:Quit __ TobaccoUse:Yes,,1,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Quit __ TobaccoUseInYears:+",,1,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Not Asked __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Not Asked __ TobaccoUse:Yes __ TobaccoUseInYears:+,,1,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:Yes __ Tobacco use __ TobaccoUse:Quit __ TobaccoUse:Yes,,1,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokelessTobaccoUse:Former User __ Snuff:Yes __ TobaccoUse:Quit __ TobaccoUse:Yes __ TobaccoUseInYears:+,,1,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUse:Quit,,1,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUse:Quit __ TobaccoUse:Yes __ TobaccoUseInYears:+,,1,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes,,1,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:Yes __ Tobacco use __ TobaccoUse:Yes,,1,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ Tobacco use __ TobaccoUse:Never __ TobaccoUseInYears:+,,1,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Yes,,1,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUse:Quit,,1,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, in remission __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+",,1,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Quit",,1,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Quit,,1,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, with unspecified nicotine-induced disorders __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit",,1,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:Yes __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,1,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:0,,1,,,,,,,,
x,Chew:No __ Chew:Yes __ Cigarettes:No __ Cigars:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Not Asked __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, in remission __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes",,1,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Quit __ TobaccoUse:Yes,,1,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, in remission __ Nicotine dependence, cigarettes, with unspecified nicotine-induced disorders __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,1,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes,,1,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUse:Passive __ TobaccoUseInYears:0,,1,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Never Smoker __ Snuff:Yes __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+,,1,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ SmokingTobaccoUse:Unknown If Ever Smoked __ Snuff:No __ TobaccoUse:Not Asked __ TobaccoUseInYears:+,,1,,,,,,,,
